City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,ain sukhna,29.6002,32.3167,286.07,78,4,3.95,EG,1710824561
328,kapa'a,22.0752,-159.319,295.43,66,71,3.88,US,1710824561
329,carauari,-4.8828,-66.8958,295.85,99,100,1.15,BR,1710824561
330,enewetak,11.3474,162.3373,300.41,79,54,3.94,MH,1710824562
331,oranjemund,-28.55,16.4333,289.3,92,61,2.55,NA,1710824562
332,kununurra,-15.7667,128.7333,309.14,56,21,2.57,AU,1710824529
333,kharp,66.8014,65.8081,259.56,81,48,8.25,RU,1710824562
334,aswan,24.0934,32.907,287.76,41,0,3.09,EG,1710824453
335,barra da estiva,-13.6261,-41.3269,293.56,67,70,1.82,BR,1710824530
336,paita,-5.0892,-81.1144,296.93,77,87,1.42,PE,1710824563
337,zinder,13.8072,8.9881,291.07,22,2,4.69,NE,1710824563
338,pea ridge,38.414,-82.3199,274.28,70,17,0.45,US,1710824563
339,saint-felix-de-valois,46.1668,-73.4324,273.33,76,100,2.68,CA,1710824563
340,boiling springs,35.0465,-81.9818,277.31,40,0,4.63,US,1710824564
341,chowchilla,37.123,-120.2602,290.38,82,0,0.0,US,1710824547
342,lerwick,60.1545,-1.1494,281.15,96,100,12.01,GB,1710824564
343,motygino,58.1831,94.7592,273.59,98,100,5.36,RU,1710824564
344,cooper's town,26.8667,-77.5167,298.23,78,38,7.45,BS,1710824565
345,gyula,46.65,21.2833,275.35,63,14,3.91,HU,1710824565
346,zheshart,62.0731,49.5733,267.18,80,96,4.38,RU,1710824565
347,colonia,50.9333,6.95,282.56,85,20,1.03,DE,1710824409
348,niquero,20.0431,-77.5828,298.67,72,37,3.66,CU,1710824565
349,maloye ganyushkino,46.6,49.2667,276.62,77,71,2.86,KZ,1710824566
350,mersa matruh,31.3525,27.2453,285.26,87,40,2.57,EG,1710824566
351,xining,36.6167,101.7667,278.82,26,0,1.77,CN,1710824566
352,vila velha,-20.3297,-40.2925,299.23,94,40,0.89,BR,1710824065
353,east london,-33.0153,27.9116,289.67,100,0,2.06,ZA,1710824407
354,keminmaa,65.8596,24.8228,263.02,92,0,3.6,FI,1710824567
355,flying fish cove,-10.4217,105.6791,301.97,74,40,4.63,CX,1710824567
356,antsiranana,-12.2787,49.2917,299.57,78,20,0.0,MG,1710824567
357,susuman,62.7833,148.1667,265.36,81,74,0.89,RU,1710824568
358,laojunmiao,39.8333,97.7333,279.18,13,0,3.07,CN,1710824568
359,jalandhar,31.3256,75.5792,302.38,11,6,0.33,IN,1710824411
360,carutapera,-1.195,-46.02,298.37,93,98,2.55,BR,1710824568
361,kilindoni,-7.9139,39.6668,300.81,78,100,5.29,TZ,1710824568
362,toropets,56.4978,31.6353,274.25,97,100,2.13,RU,1710824569
